 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    7.6726,    -99.00,      8.58,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.7139,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.7556,    -99.00,      8.57,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.7976,    -99.00,      8.57,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.8389,    -99.00,      8.57,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.8808,    -99.00,      8.57,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.9226,    -99.00,      8.56,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.9643,    -99.00,      8.56,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.0063,    -99.00,      8.56,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.0476,    -99.00,      8.56,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.0890,    -99.00,      8.56,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.1313,    -99.00,      8.56,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.1726,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.2148,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.2563,    -99.00,      8.55,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
    8.2976,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.3398,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.3813,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.4233,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.4649,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.5063,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.5483,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.5899,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.6316,    -99.00,      8.55,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.6732,    -99.00,      8.55,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
