$Trinity Br1 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
50.417,19.00042475
50.458,19.00042475
50.5,19.00042475
50.542,19.00042475
50.583,19.00042475
50.625,19.00042475
50.667,19.00042475
50.708,19.00042475
50.75,19.00042475
50.792,19.00042475
50.833,19.00042475
50.875,19.00042475
50.917,19.00042475
50.958,19.00042475
51,19.82160555
51.042,19.82160555
51.083,19.82160555
51.125,19.82160555
51.167,19.82160555
51.208,19.82160555
51.25,19.82160555
51.292,19.82160555
51.333,19.82160555
51.375,19.82160555
51.417,19.82160555
51.458,19.82160555
51.5,19.82160555
51.542,19.82160555
51.583,19.82160555
51.625,19.82160555
51.667,19.82160555
51.708,19.82160555
51.75,19.82160555
51.792,19.82160555
51.833,19.82160555
51.875,19.82160555
51.917,19.82160555
51.958,19.82160555
52,17.839445
52.042,17.839445
52.083,17.839445
52.125,17.839445
52.167,17.839445
52.208,17.839445
52.25,17.839445
52.292,17.839445
52.333,17.839445
52.375,17.839445
52.417,17.839445
52.458,17.839445
52.5,17.839445
52.542,17.839445
52.583,17.839445
52.625,17.839445
52.667,17.839445
52.708,17.839445
52.75,17.839445
52.792,17.839445
52.833,17.839445
52.875,17.839445
52.917,17.839445
52.958,17.839445
53,15.23431969
53.042,15.23431969
53.083,15.23431969
53.125,15.23431969
53.167,15.23431969
53.208,15.23431969
53.25,15.23431969
53.292,15.23431969
53.333,15.23431969
53.375,15.23431969
53.417,15.23431969
53.458,15.23431969
53.5,15.23431969
53.542,15.23431969
53.583,15.23431969
53.625,15.23431969
53.667,15.23431969
53.708,15.23431969
53.75,15.23431969
53.792,15.23431969
53.833,15.23431969
53.875,15.23431969
53.917,15.23431969
53.958,15.23431969
54,16.45193261
54.042,16.45193261
54.083,16.45193261
54.125,16.45193261
54.167,16.45193261
54.208,16.45193261
54.25,16.45193261
54.292,16.45193261
54.333,16.45193261
54.375,16.45193261
54.417,16.45193261
54.458,16.45193261
54.5,16.45193261
54.542,16.45193261
54.583,16.45193261
54.625,16.45193261
54.667,16.45193261
54.708,16.45193261
54.75,16.45193261
54.792,16.45193261
54.833,16.45193261
54.875,16.45193261
54.917,16.45193261
54.958,16.45193261
55,19.36854028
55.042,19.36854028
55.083,19.36854028
55.125,19.36854028
55.167,19.36854028
55.208,19.36854028
55.25,19.36854028
55.292,19.36854028
55.333,19.36854028
55.375,19.36854028
55.417,19.36854028
55.458,19.36854028
55.5,19.36854028
55.542,19.36854028
55.583,19.36854028
55.625,19.36854028
55.667,19.36854028
55.708,19.36854028
55.75,19.36854028
55.792,19.36854028
55.833,19.36854028
55.875,19.36854028
55.917,19.36854028
55.958,19.36854028
56,37.51946765
56.042,37.51946765
56.083,37.51946765
56.125,37.51946765
56.167,37.51946765
56.208,37.51946765
56.25,37.51946765
56.292,37.51946765
56.333,37.51946765
56.375,37.51946765
56.417,37.51946765
56.458,37.51946765
56.5,37.51946765
56.542,37.51946765
56.583,37.51946765
56.625,37.51946765
56.667,37.51946765
56.708,37.51946765
56.75,37.51946765
56.792,37.51946765
56.833,37.51946765
56.875,37.51946765
56.917,37.51946765
56.958,37.51946765
57,76.6812969
57.042,76.6812969
57.083,76.6812969
57.125,76.6812969
57.167,76.6812969
57.208,76.6812969
57.25,76.6812969
57.292,76.6812969
57.333,76.6812969
57.375,76.6812969
57.417,76.6812969
57.458,76.6812969
57.5,76.6812969
57.542,76.6812969
57.583,76.6812969
57.625,76.6812969
57.667,76.6812969
57.708,76.6812969
57.75,76.6812969
57.792,76.6812969
57.833,76.6812969
57.875,76.6812969
57.917,76.6812969
57.958,76.6812969
58,107.3481523
58.042,107.3481523
58.083,107.3481523
58.125,107.3481523
58.167,107.3481523
58.208,107.3481523
58.25,107.3481523
58.292,107.3481523
58.333,107.3481523
58.375,107.3481523
58.417,107.3481523
58.458,107.3481523
58.5,107.3481523
58.542,107.3481523
58.583,107.3481523
58.625,107.3481523
58.667,107.3481523
58.708,107.3481523
58.75,107.3481523
58.792,107.3481523
58.833,107.3481523
58.875,107.3481523
58.917,107.3481523
58.958,107.3481523
