Constituent,Julian_day,Seg_50 ,Seg_51 ,Seg_52 ,Seg_77 ,Seg_78 ,Seg_79 ,Seg_72 ,Seg_107,
Temperature,   230.419,      16.907,      20.103,      19.205,      16.694,      17.160,      15.651,      16.769,      16.149,
Temperature,   230.460,      17.042,      19.949,      19.115,      16.731,      17.206,      15.665,      16.797,      16.170,
Temperature,   230.502,      17.126,      19.948,      19.133,      16.755,      17.236,      15.682,      16.801,      16.200,
Temperature,   230.544,      17.259,      20.146,      19.321,      16.787,      17.277,      15.701,      16.796,      16.217,
Temperature,   230.585,      17.242,      20.290,      19.441,      16.778,      17.258,      15.726,      16.814,      16.215,
Temperature,   230.627,      17.162,      20.394,      19.542,      16.771,      17.251,      15.749,      16.812,      16.198,
Temperature,   230.669,      17.076,      20.424,      19.575,      16.743,      17.212,      15.766,      16.810,      16.172,
Temperature,   230.710,      17.030,      20.542,      19.674,      16.712,      17.174,      15.772,      16.823,      16.165,
Temperature,   230.752,      16.970,      20.716,      19.814,      16.724,      17.190,      15.772,      16.810,      16.158,
Temperature,   230.794,      17.227,      20.738,      19.792,      16.733,      17.196,      15.765,      16.812,      16.193,
Temperature,   230.836,      17.259,      20.605,      19.716,      16.786,      17.259,      15.757,      16.810,      16.229,
Temperature,   230.877,      17.378,      20.364,      19.528,      16.835,      17.309,      15.746,      16.821,      16.257,
Temperature,   230.919,      16.920,      20.012,      19.234,      16.854,      17.325,      15.736,      16.824,      16.304,
Temperature,   230.961,      16.460,      19.843,      19.065,      16.862,      17.338,      15.726,      16.822,      16.320,
Temperature,   231.002,      16.231,      19.766,      18.955,      16.841,      17.317,      15.716,      16.825,      16.273,
Temperature,   231.044,      16.022,      19.853,      19.086,      16.770,      17.235,      15.705,      16.807,      16.252,
Temperature,   231.086,      15.922,      19.992,      19.161,      16.725,      17.186,      15.694,      16.773,      16.197,
Temperature,   231.127,      15.709,      20.206,      19.293,      16.707,      17.174,      15.683,      16.756,      16.143,
Temperature,   231.169,      15.544,      20.317,      19.419,      16.647,      17.103,      15.671,      16.755,      16.134,
Temperature,   231.211,      15.497,      20.255,      19.365,      16.676,      17.141,      15.659,      16.742,      16.110,
Temperature,   231.252,      15.493,      20.115,      19.233,      16.679,      17.145,      15.647,      16.747,      16.136,
Temperature,   231.294,      15.490,      19.932,      19.081,      16.696,      17.163,      15.638,      16.754,      16.167,
Temperature,   231.336,      15.514,      19.825,      18.976,      16.724,      17.192,      15.635,      16.771,      16.176,
Temperature,   231.377,      15.611,      19.687,      18.866,      16.727,      17.195,      15.638,      16.775,      16.211,
Temperature,   231.419,      15.695,      19.724,      18.906,      16.748,      17.218,      15.647,      16.771,      16.193,
Temperature,   231.461,      15.832,      19.802,      18.990,      16.731,      17.202,      15.661,      16.772,      16.185,
Temperature,   231.502,      15.987,      20.069,      19.223,      16.719,      17.185,      15.678,      16.762,      16.165,
Temperature,   231.544,      16.049,      20.238,      19.379,      16.695,      17.157,      15.697,      16.759,      16.150,
Temperature,   231.586,      16.017,      20.456,      19.580,      16.642,      17.093,      15.714,      16.769,      16.123,
Temperature,   231.627,      15.988,      20.687,      19.809,      16.644,      17.116,      15.729,      16.761,      16.055,
Temperature,   231.669,      16.110,      21.034,      20.097,      16.595,      17.050,      15.739,      16.745,      16.013,
Temperature,   231.710,      16.235,      21.356,      20.321,      16.522,      16.964,      15.741,      16.747,      16.035,
Temperature,   231.752,      16.279,      21.392,      20.398,      16.594,      17.053,      15.738,      16.718,      15.985,
Temperature,   231.794,      16.344,      21.153,      20.195,      16.623,      17.069,      15.731,      16.740,      16.078,
Temperature,   231.835,      16.443,      20.673,      19.744,      16.752,      17.211,      15.722,      16.752,      16.201,
Temperature,   231.877,      16.971,      20.055,      19.220,      16.875,      17.351,      15.712,      16.798,      16.297,
Temperature,   231.919,      17.165,      19.435,      18.717,      16.921,      17.395,      15.702,      16.823,      16.363,
Temperature,   231.961,      16.853,      19.285,      18.598,      16.910,      17.386,      15.693,      16.831,      16.364,
Temperature,   232.002,      16.623,      19.280,      18.564,      16.827,      17.293,      15.683,      16.808,      16.316,
Temperature,   232.044,      16.414,      19.874,      19.012,      16.731,      17.188,      15.673,      16.761,      16.219,
Temperature,   232.086,      16.328,      20.289,      19.376,      16.603,      17.045,      15.663,      16.732,      16.120,
Temperature,   232.127,      16.065,      20.619,      19.676,      16.543,      16.986,      15.652,      16.699,      16.042,
Temperature,   232.169,      15.878,      20.662,      19.715,      16.552,      17.001,      15.641,      16.666,      16.013,
Temperature,   232.211,      15.838,      20.407,      19.511,      16.555,      17.002,      15.630,      16.693,      16.048,
Temperature,   232.252,      15.914,      20.061,      19.227,      16.644,      17.105,      15.619,      16.709,      16.078,
Temperature,   232.294,      15.978,      19.664,      18.890,      16.691,      17.154,      15.610,      16.736,      16.154,
Temperature,   232.336,      15.997,      19.406,      18.668,      16.726,      17.191,      15.606,      16.756,      16.206,
Temperature,   232.377,      16.059,      19.465,      18.717,      16.735,      17.199,      15.609,      16.760,      16.202,
Temperature,   232.419,      16.149,      19.678,      18.909,      16.679,      17.131,      15.618,      16.760,      16.189,
Temperature,   232.461,      16.338,      19.919,      19.146,      16.677,      17.141,      15.632,      16.723,      16.123,
Temperature,   232.502,      16.453,      20.339,      19.502,      16.625,      17.083,      15.650,      16.711,      16.070,
Temperature,   232.544,      16.460,      20.535,      19.675,      16.592,      17.048,      15.669,      16.706,      16.067,
Temperature,   232.585,      16.531,      20.715,      19.831,      16.610,      17.063,      15.694,      16.713,      16.042,
Temperature,   232.627,      16.518,      20.535,      19.686,      16.622,      17.081,      15.715,      16.746,      16.078,
Temperature,   232.669,      16.529,      20.531,      19.681,      16.654,      17.114,      15.728,      16.770,      16.087,
Temperature,   232.711,      16.453,      20.518,      19.655,      16.683,      17.138,      15.733,      16.761,      16.122,
Temperature,   232.752,      16.653,      20.659,      19.727,      16.678,      17.138,      15.731,      16.763,      16.154,
Temperature,   232.794,      16.980,      20.635,      19.742,      16.713,      17.175,      15.725,      16.739,      16.141,
Temperature,   232.836,      17.037,      20.498,      19.670,      16.716,      17.171,      15.716,      16.755,      16.160,
Temperature,   232.877,      17.092,      20.356,      19.512,      16.751,      17.214,      15.707,      16.748,      16.197,
Temperature,   232.919,      17.297,      20.263,      19.386,      16.780,      17.241,      15.698,      16.743,      16.221,
Temperature,   232.961,      17.038,      19.954,      19.175,      16.776,      17.233,      15.689,      16.760,      16.241,
Temperature,   233.002,      16.745,      19.838,      19.027,      16.785,      17.251,      15.680,      16.771,      16.228,
Temperature,   233.044,      16.359,      19.737,      18.903,      16.746,      17.206,      15.671,      16.755,      16.217,
Temperature,   233.086,      16.126,      19.838,      19.007,      16.694,      17.147,      15.661,      16.742,      16.172,
Temperature,   233.127,      15.991,      19.956,      19.101,      16.666,      17.123,      15.650,      16.738,      16.111,
Temperature,   233.169,      16.000,      20.134,      19.237,      16.640,      17.098,      15.639,      16.712,      16.100,
Temperature,   233.211,      15.898,      20.235,      19.331,      16.623,      17.079,      15.628,      16.687,      16.087,
Temperature,   233.252,      15.883,      20.183,      19.284,      16.626,      17.087,      15.617,      16.699,      16.068,
Temperature,   233.294,      15.885,      20.028,      19.152,      16.619,      17.077,      15.608,      16.703,      16.080,
Temperature,   233.336,      15.880,      19.812,      18.975,      16.623,      17.081,      15.603,      16.698,      16.094,
Temperature,   233.377,      15.820,      19.735,      18.907,      16.638,      17.099,      15.605,      16.720,      16.086,
Temperature,   233.419,      15.843,      19.769,      18.940,      16.627,      17.085,      15.613,      16.719,      16.117,
Temperature,   233.461,      16.029,      19.901,      19.072,      16.646,      17.106,      15.627,      16.714,      16.115,
Temperature,   233.502,      16.154,      20.000,      19.170,      16.666,      17.132,      15.644,      16.724,      16.101,
Temperature,   233.544,      16.246,      20.164,      19.315,      16.650,      17.112,      15.660,      16.732,      16.132,
Temperature,   233.586,      16.323,      20.290,      19.434,      16.682,      17.144,      15.683,      16.732,      16.108,
Temperature,   233.627,      16.353,      20.394,      19.533,      16.662,      17.119,      15.705,      16.742,      16.097,
Temperature,   233.669,      16.553,      20.636,      19.696,      16.621,      17.070,      15.721,      16.736,      16.087,
Temperature,   233.711,      16.709,      20.826,      19.915,      16.591,      17.034,      15.724,      16.718,      16.045,
Temperature,   233.752,      16.784,      20.962,      20.052,      16.555,      16.996,      15.720,      16.722,      16.024,
Temperature,   233.794,      16.917,      21.026,      20.088,      16.569,      17.009,      15.712,      16.697,      16.050,
Temperature,   233.836,      17.113,      20.849,      19.945,      16.627,      17.071,      15.702,      16.695,      16.097,
Temperature,   233.877,      17.092,      20.438,      19.583,      16.707,      17.163,      15.693,      16.722,      16.164,
Temperature,   233.919,      16.888,      19.990,      19.182,      16.781,      17.239,      15.684,      16.748,      16.219,
Temperature,   233.961,      16.573,      19.494,      18.772,      16.830,      17.295,      15.675,      16.756,      16.270,
Temperature,   234.002,      16.314,      19.329,      18.646,      16.812,      17.276,      15.667,      16.768,      16.284,
Temperature,   234.044,      16.381,      19.416,      18.661,      16.783,      17.245,      15.657,      16.749,      16.237,
Temperature,   234.086,      16.286,      19.763,      18.923,      16.691,      17.140,      15.646,      16.717,      16.195,
Temperature,   234.127,      16.048,      20.035,      19.175,      16.623,      17.069,      15.636,      16.681,      16.121,
Temperature,   234.169,      15.788,      20.273,      19.390,      16.572,      17.016,      15.625,      16.666,      16.038,
Temperature,   234.211,      15.848,      20.352,      19.446,      16.537,      16.979,      15.613,      16.640,      16.031,
Temperature,   234.252,      15.911,      20.224,      19.347,      16.538,      16.980,      15.602,      16.639,      16.023,
Temperature,   234.294,      15.855,      19.923,      19.105,      16.585,      17.037,      15.593,      16.665,      16.035,
Temperature,   234.336,      15.773,      19.697,      18.916,      16.609,      17.059,      15.589,      16.687,      16.096,
Temperature,   234.377,      15.822,      19.541,      18.777,      16.674,      17.134,      15.591,      16.696,      16.135,
Temperature,   234.419,      15.979,      19.515,      18.763,      16.689,      17.152,      15.600,      16.716,      16.155,
Temperature,   234.460,      16.087,      19.695,      18.924,      16.685,      17.159,      15.611,      16.712,      16.144,
Temperature,   234.502,      16.190,      19.892,      19.090,      16.660,      17.128,      15.621,      16.700,      16.119,
Temperature,   234.544,      16.300,      20.151,      19.318,      16.619,      17.071,      15.657,      16.700,      16.091,
Temperature,   234.585,      16.516,      20.467,      19.539,      16.600,      17.049,      15.688,      16.696,      16.037,
Temperature,   234.627,      16.600,      20.614,      19.701,      16.555,      16.999,      15.712,      16.711,      16.036,
Temperature,   234.669,      16.549,      20.690,      19.771,      16.581,      17.032,      15.727,      16.718,      16.040,
Temperature,   234.711,      16.448,      20.779,      19.856,      16.586,      17.019,      15.729,      16.729,      16.068,
Temperature,   234.752,      16.304,      20.813,      19.896,      16.606,      17.043,      15.727,      16.724,      16.074,
Temperature,   234.794,      16.274,      20.793,      19.865,      16.632,      17.078,      15.721,      16.703,      16.100,
Temperature,   234.836,      16.217,      20.503,      19.606,      16.661,      17.113,      15.713,      16.722,      16.181,
Temperature,   234.877,      16.163,      20.110,      19.272,      16.749,      17.206,      15.703,      16.742,      16.203,
Temperature,   234.919,      16.191,      19.784,      18.989,      16.786,      17.244,      15.693,      16.764,      16.248,
Temperature,   234.961,      16.039,      19.587,      18.865,      16.796,      17.249,      15.684,      16.752,      16.262,
Temperature,   235.002,      15.994,      19.675,      18.878,      16.782,      17.239,      15.675,      16.743,      16.222,
Temperature,   235.044,      15.900,      19.866,      19.012,      16.706,      17.156,      15.665,      16.718,      16.185,
Temperature,   235.086,      15.734,      20.129,      19.236,      16.633,      17.077,      15.653,      16.694,      16.115,
Temperature,   235.127,      15.567,      20.153,      19.268,      16.585,      17.029,      15.642,      16.676,      16.052,
Temperature,   235.169,      15.501,      20.273,      19.358,      16.546,      16.984,      15.629,      16.666,      16.042,
Temperature,   235.211,      15.521,      20.146,      19.253,      16.565,      17.010,      15.617,      16.657,      16.037,
Temperature,   235.252,      15.508,      19.982,      19.120,      16.593,      17.042,      15.605,      16.669,      16.065,
Temperature,   235.294,      15.480,      19.694,      18.879,      16.631,      17.085,      15.595,      16.674,      16.111,
Temperature,   235.336,      15.422,      19.536,      18.739,      16.662,      17.121,      15.591,      16.686,      16.118,
Temperature,   235.377,      15.441,      19.538,      18.737,      16.659,      17.129,      15.590,      16.693,      16.119,
Temperature,   235.419,      15.627,      19.692,      18.860,      16.636,      17.100,      15.567,      16.684,      16.117,
Temperature,   235.460,      15.860,      19.902,      19.051,      16.622,      17.071,      15.596,      16.693,      16.087,
Temperature,   235.502,      15.998,      20.111,      19.249,      16.608,      17.052,      15.628,      16.700,      16.066,
Temperature,   235.544,      16.112,      20.325,      19.452,      16.611,      17.065,      15.658,      16.708,      16.068,
Temperature,   235.585,      16.177,      20.378,      19.504,      16.639,      17.098,      15.685,      16.714,      16.077,
Temperature,   235.627,      16.123,      20.500,      19.624,      16.610,      17.074,      15.706,      16.743,      16.077,
Temperature,   235.669,      16.261,      20.839,      19.833,      16.654,      17.126,      15.721,      16.720,      15.983,
Temperature,   235.711,      16.393,      21.049,      20.085,      16.534,      16.983,      15.723,      16.706,      16.020,
Temperature,   235.752,      16.562,      21.188,      20.242,      16.563,      17.025,      15.718,      16.675,      15.965,
Temperature,   235.794,      16.707,      21.077,      20.116,      16.601,      17.065,      15.709,      16.702,      15.994,
Temperature,   235.835,      16.946,      20.838,      19.884,      16.636,      17.085,      15.698,      16.694,      16.146,
Temperature,   235.877,      17.002,      20.324,      19.459,      16.786,      17.253,      15.686,      16.715,      16.181,
Temperature,   235.919,      16.771,      19.698,      18.927,      16.861,      17.329,      15.675,      16.768,      16.241,
Temperature,   235.961,      16.506,      19.411,      18.669,      16.868,      17.332,      15.664,      16.753,      16.321,
Temperature,   236.002,      16.134,      19.247,      18.563,      16.873,      17.348,      15.654,      16.737,      16.259,
Temperature,   236.044,      16.056,      19.473,      18.693,      16.743,      17.197,      15.644,      16.737,      16.208,
Temperature,   236.086,      15.993,      20.056,      19.155,      16.636,      17.079,      15.634,      16.683,      16.130,
Temperature,   236.127,      15.750,      20.332,      19.414,      16.565,      17.007,      15.623,      16.656,      16.029,
Temperature,   236.169,      15.533,      20.542,      19.614,      16.498,      16.930,      15.612,      16.642,      15.999,
Temperature,   236.211,      15.457,      20.538,      19.594,      16.532,      16.971,      15.600,      16.618,      16.005,
Temperature,   236.252,      15.444,      20.105,      19.231,      16.566,      17.011,      15.589,      16.646,      16.027,
Temperature,   236.294,      15.469,      19.767,      18.940,      16.654,      17.125,      15.577,      16.669,      16.063,
Temperature,   236.335,      15.590,      19.457,      18.648,      16.702,      17.172,      15.533,      16.698,      16.129,
Temperature,   236.377,      15.727,      19.313,      18.521,      16.738,      17.204,      15.546,      16.721,      16.168,
Temperature,   236.419,      15.820,      19.471,      18.647,      16.729,      17.191,      15.565,      16.707,      16.151,
Temperature,   236.460,      15.944,      19.833,      18.909,      16.640,      17.088,      15.584,      16.710,      16.118,
Temperature,   236.502,      16.065,      20.111,      19.201,      16.595,      17.045,      15.607,      16.681,      16.048,
Temperature,   236.544,      16.388,      20.602,      19.641,      16.551,      16.994,      15.633,      16.670,      16.004,
Temperature,   236.585,      16.594,      20.786,      19.824,      16.525,      16.962,      15.662,      16.684,      16.021,
Temperature,   236.627,      16.723,      20.941,      19.921,      16.583,      17.016,      15.689,      16.696,      16.029,
Temperature,   236.669,      16.593,      20.677,      19.730,      16.608,      17.043,      15.697,      16.719,      16.068,
Temperature,   236.711,      16.368,      20.541,      19.631,      16.636,      17.087,      15.698,      16.728,      16.069,
Temperature,   236.752,      16.276,      20.521,      19.595,      16.637,      17.086,      15.693,      16.716,      16.097,
Temperature,   236.794,      16.284,      20.523,      19.593,      16.640,      17.079,      15.685,      16.715,      16.142,
Temperature,   236.835,      16.317,      20.451,      19.543,      16.692,      17.134,      15.675,      16.710,      16.124,
Temperature,   236.877,      16.306,      20.270,      19.393,      16.711,      17.159,      15.665,      16.709,      16.169,
Temperature,   236.919,      16.270,      20.181,      19.307,      16.729,      17.174,      15.655,      16.704,      16.200,
Temperature,   236.961,      15.991,      19.918,      19.132,      16.768,      17.223,      15.646,      16.715,      16.187,
Temperature,   237.002,      15.847,      19.768,      18.940,      16.738,      17.185,      15.637,      16.724,      16.203,
Temperature,   237.044,      15.763,      19.770,      18.916,      16.734,      17.187,      15.626,      16.695,      16.182,
Temperature,   237.086,      15.700,      19.810,      18.938,      16.676,      17.123,      15.615,      16.695,      16.141,
Temperature,   237.127,      15.614,      19.910,      19.032,      16.625,      17.068,      15.604,      16.689,      16.100,
Temperature,   237.169,      15.530,      20.075,      19.170,      16.613,      17.061,      15.592,      16.648,      16.066,
Temperature,   237.211,      15.508,      20.143,      19.228,      16.570,      17.011,      15.581,      16.640,      16.053,
Temperature,   237.252,      15.545,      20.120,      19.222,      16.582,      17.029,      15.569,      16.635,      16.031,
Temperature,   237.294,      15.583,      19.970,      19.085,      16.579,      17.024,      15.559,      16.641,      16.032,
Temperature,   237.336,      15.597,      19.756,      18.892,      16.597,      17.047,      15.554,      16.644,      16.057,
Temperature,   237.377,      15.647,      19.710,      18.844,      16.621,      17.084,      15.552,      16.655,      16.069,
Temperature,   237.419,      15.776,      19.644,      18.771,      16.661,      17.129,      15.527,      16.680,      16.095,
Temperature,   237.460,      15.958,      19.664,      18.806,      16.687,      17.147,      15.553,      16.695,      16.121,
Temperature,   237.502,      16.069,      19.791,      18.922,      16.692,      17.150,      15.580,      16.696,      16.110,
Temperature,   237.544,      16.130,      19.905,      19.041,      16.653,      17.115,      15.606,      16.698,      16.104,
Temperature,   237.585,      16.335,      20.151,      19.257,      16.651,      17.115,      15.633,      16.695,      16.090,
Temperature,   237.627,      16.456,      20.278,      19.373,      16.642,      17.097,      15.659,      16.723,      16.107,
Temperature,   237.669,      16.509,      20.360,      19.445,      16.655,      17.090,      15.684,      16.731,      16.099,
Temperature,   237.710,      16.596,      20.509,      19.550,      16.654,      17.094,      15.687,      16.716,      16.085,
Temperature,   237.752,      16.560,      20.645,      19.695,      16.614,      17.062,      15.683,      16.700,      16.058,
Temperature,   237.794,      16.537,      20.691,      19.755,      16.576,      17.016,      15.675,      16.686,      16.050,
Temperature,   237.836,      16.712,      20.690,      19.759,      16.614,      17.055,      15.665,      16.681,      16.076,
Temperature,   237.877,      16.795,      20.473,      19.566,      16.686,      17.133,      15.655,      16.685,      16.135,
Temperature,   237.919,      16.746,      20.140,      19.296,      16.743,      17.187,      15.645,      16.712,      16.199,
Temperature,   237.961,      16.506,      19.718,      18.970,      16.808,      17.265,      15.635,      16.728,      16.245,
Temperature,   238.002,      16.359,      19.466,      18.700,      16.806,      17.261,      15.626,      16.738,      16.252,
Temperature,   238.044,      16.220,      19.389,      18.618,      16.789,      17.245,      15.615,      16.712,      16.213,
Temperature,   238.086,      16.139,      19.610,      18.754,      16.704,      17.150,      15.604,      16.698,      16.163,
Temperature,   238.127,      15.988,      19.877,      18.989,      16.645,      17.089,      15.594,      16.670,      16.089,
Temperature,   238.169,      15.860,      20.148,      19.235,      16.584,      17.023,      15.582,      16.632,      16.042,
Temperature,   238.211,      15.912,      20.361,      19.429,      16.540,      16.974,      15.570,      16.616,      16.022,
Temperature,   238.252,      15.923,      20.310,      19.394,      16.554,      16.995,      15.559,      16.613,      16.003,
Temperature,   238.294,      15.867,      20.104,      19.209,      16.559,      16.998,      15.549,      16.628,      16.024,
Temperature,   238.336,      15.777,      19.778,      18.908,      16.611,      17.058,      15.544,      16.634,      16.072,
Temperature,   238.377,      15.826,      19.554,      18.703,      16.656,      17.107,      15.545,      16.658,      16.107,
Temperature,   238.419,      15.968,      19.388,      18.558,      16.698,      17.160,      15.555,      16.685,      16.123,
Temperature,   238.460,      16.123,      19.409,      18.578,      16.711,      17.169,      15.568,      16.688,      16.148,
Temperature,   238.502,      16.199,      19.648,      18.789,      16.688,      17.135,      15.587,      16.686,      16.147,
Temperature,   238.544,      16.184,      19.984,      19.091,      16.665,      17.111,      15.606,      16.683,      16.077,
Temperature,   238.585,      16.282,      20.365,      19.447,      16.581,      17.012,      15.622,      16.660,      16.024,
Temperature,   238.627,      16.705,      20.832,      19.839,      16.504,      16.933,      15.635,      16.640,      15.960,
Temperature,   238.669,      16.938,      21.105,      20.123,      16.464,      16.909,      15.640,      16.623,      15.872,
Temperature,   238.711,      17.076,      21.242,      20.261,      16.444,      16.889,      15.640,      16.622,      15.840,
Temperature,   238.752,      17.252,      21.180,      20.159,      16.493,      16.941,      15.635,      16.642,      15.914,
Temperature,   238.794,      17.111,      20.824,      19.859,      16.554,      16.995,      15.628,      16.629,      16.068,
Temperature,   238.835,      16.956,      20.198,      19.309,      16.708,      17.163,      15.620,      16.680,      16.130,
Temperature,   238.877,      16.852,      19.613,      18.806,      16.851,      17.320,      15.611,      16.721,      16.217,
Temperature,   238.919,      16.779,      19.255,      18.496,      16.861,      17.316,      15.602,      16.722,      16.314,
Temperature,   238.961,      16.462,      19.028,      18.348,      16.906,      17.380,      15.594,      16.700,      16.260,
Temperature,   239.002,      16.228,      19.228,      18.459,      16.771,      17.225,      15.585,      16.699,      16.197,
Temperature,   239.044,      16.013,      19.687,      18.850,      16.628,      17.065,      15.575,      16.645,      16.125,
Temperature,   239.086,      15.853,      20.164,      19.235,      16.542,      16.976,      15.565,      16.615,      16.001,
Temperature,   239.127,      15.822,      20.451,      19.508,      16.473,      16.905,      15.554,      16.599,      15.967,
Temperature,   239.169,      15.942,      20.576,      19.623,      16.477,      16.904,      15.543,      16.565,      15.971,
Temperature,   239.211,      15.821,      20.279,      19.362,      16.534,      16.971,      15.533,      16.579,      15.989,
Temperature,   239.252,      15.637,      19.806,      18.965,      16.586,      17.029,      15.523,      16.610,      16.023,
Temperature,   239.294,      15.709,      19.456,      18.651,      16.651,      17.100,      15.515,      16.632,      16.062,
Temperature,   239.336,      15.883,      19.199,      18.417,      16.684,      17.136,      15.513,      16.646,      16.099,
Temperature,   239.377,      16.051,      19.226,      18.434,      16.695,      17.154,      15.517,      16.645,      16.112,
Temperature,   239.419,      16.113,      19.461,      18.631,      16.668,      17.122,      15.527,      16.633,      16.088,
Temperature,   239.461,      16.212,      19.710,      18.853,      16.592,      17.033,      15.543,      16.632,      16.073,
Temperature,   239.502,      16.407,      19.980,      19.107,      16.559,      16.998,      15.562,      16.617,      16.033,
Temperature,   239.544,      16.659,      20.174,      19.296,      16.556,      16.998,      15.583,      16.616,      15.996,
Temperature,   239.586,      16.746,      20.278,      19.405,      16.535,      16.979,      15.602,      16.638,      15.989,
Temperature,   239.627,      16.677,      20.529,      19.616,      16.511,      16.953,      15.615,      16.629,      15.951,
Temperature,   239.669,      16.722,      20.634,      19.678,      16.497,      16.941,      15.625,      16.601,      15.926,
Temperature,   239.711,      16.887,      20.843,      19.902,      16.481,      16.908,      15.630,      16.614,      15.921,
Temperature,   239.752,      17.005,      20.802,      19.848,      16.530,      16.961,      15.629,      16.663,      15.964,
Temperature,   239.794,      16.944,      20.539,      19.637,      16.614,      17.045,      15.624,      16.627,      16.053,
Temperature,   239.835,      16.965,      20.299,      19.424,      16.699,      17.140,      15.616,      16.619,      16.150,
Temperature,   239.877,      16.887,      19.856,      19.046,      16.732,      17.177,      15.607,      16.675,      16.177,
Temperature,   239.919,      16.816,      19.611,      18.816,      16.765,      17.214,      15.598,      16.681,      16.171,
Temperature,   239.960,      16.790,      19.355,      18.564,      16.754,      17.206,      15.589,      16.643,      16.200,
Temperature,   240.002,      16.482,      19.453,      18.698,      16.709,      17.154,      15.580,      16.643,      16.161,
Temperature,   240.044,      16.271,      19.747,      18.905,      16.638,      17.075,      15.570,      16.636,      16.097,
Temperature,   240.086,      16.104,      20.009,      19.150,      16.578,      17.011,      15.559,      16.603,      16.058,
Temperature,   240.127,      15.996,      20.128,      19.224,      16.536,      16.967,      15.549,      16.584,      16.016,
Temperature,   240.169,      15.914,      20.180,      19.268,      16.508,      16.936,      15.538,      16.586,      15.972,
Temperature,   240.211,      15.822,      20.054,      19.164,      16.532,      16.968,      15.527,      16.588,      15.964,
Temperature,   240.252,      15.631,      19.802,      18.937,      16.558,      17.000,      15.517,      16.577,      16.006,
Temperature,   240.294,      15.591,      19.577,      18.733,      16.577,      17.018,      15.509,      16.588,      16.032,
Temperature,   240.336,      15.693,      19.417,      18.589,      16.608,      17.055,      15.506,      16.620,      16.039,
Temperature,   240.377,      15.852,      19.411,      18.580,      16.599,      17.041,      15.511,      16.624,      16.059,
Temperature,   240.419,      15.954,      19.502,      18.655,      16.597,      17.038,      15.523,      16.607,      16.064,
Temperature,   240.461,      15.960,      19.666,      18.808,      16.573,      17.012,      15.540,      16.616,      16.030,
Temperature,   240.502,      16.025,      19.953,      19.066,      16.546,      16.978,      15.561,      16.602,      15.995,
Temperature,   240.544,      16.190,      20.183,      19.295,      16.497,      16.927,      15.582,      16.595,      15.977,
Temperature,   240.586,      16.411,      20.517,      19.607,      16.489,      16.924,      15.601,      16.598,      15.875,
Temperature,   240.627,      16.509,      20.818,      19.884,      16.383,      16.808,      15.617,      16.592,      15.836,
Temperature,   240.669,      16.992,      21.334,      20.285,      16.361,      16.790,      15.627,      16.563,      15.782,
Temperature,   240.710,      17.311,      21.495,      20.470,      16.359,      16.778,      15.630,      16.564,      15.770,
Temperature,   240.752,      17.281,      21.377,      20.367,      16.383,      16.799,      15.628,      16.592,      15.834,
Temperature,   240.794,      17.183,      20.986,      19.999,      16.515,      16.947,      15.623,      16.550,      15.947,
Temperature,   240.835,      17.160,      20.399,      19.490,      16.615,      17.047,      15.615,      16.591,      16.055,
Temperature,   240.877,      17.012,      19.701,      18.907,      16.731,      17.172,      15.607,      16.670,      16.141,
Temperature,   240.919,      16.954,      19.327,      18.554,      16.798,      17.244,      15.599,      16.665,      16.209,
Temperature,   240.961,      16.621,      19.143,      18.429,      16.780,      17.227,      15.592,      16.640,      16.242,
Temperature,   241.002,      16.376,      19.411,      18.607,      16.683,      17.117,      15.585,      16.652,      16.174,
Temperature,   241.044,      16.176,      19.863,      18.975,      16.588,      17.011,      15.577,      16.631,      16.051,
Temperature,   241.086,      15.993,      20.186,      19.244,      16.478,      16.891,      15.568,      16.585,      16.000,
Temperature,   241.127,      15.902,      20.438,      19.485,      16.424,      16.834,      15.559,      16.560,      15.951,
Temperature,   241.169,      15.941,      20.374,      19.440,      16.449,      16.870,      15.549,      16.557,      15.911,
Temperature,   241.211,      15.806,      20.156,      19.245,      16.470,      16.894,      15.540,      16.568,      15.955,
Temperature,   241.252,      15.647,      19.740,      18.891,      16.542,      16.980,      15.530,      16.574,      15.997,
Temperature,   241.294,      15.677,      19.393,      18.595,      16.595,      17.037,      15.523,      16.607,      16.027,
Temperature,   241.336,      15.884,      19.232,      18.457,      16.618,      17.058,      15.522,      16.618,      16.072,
Temperature,   241.377,      16.036,      19.314,      18.518,      16.622,      17.063,      15.527,      16.613,      16.083,
Temperature,   241.419,      16.071,      19.422,      18.613,      16.580,      17.015,      15.538,      16.618,      16.051,
Temperature,   241.461,      16.081,      19.658,      18.836,      16.536,      16.969,      15.555,      16.605,      16.013,
Temperature,   241.502,      16.333,      20.014,      19.174,      16.495,      16.921,      15.575,      16.596,      15.979,
Temperature,   241.544,      16.636,      20.158,      19.319,      16.509,      16.948,      15.597,      16.605,      15.958,
Temperature,   241.586,      16.744,      20.323,      19.469,      16.535,      16.976,      15.618,      16.619,      15.958,
Temperature,   241.627,      16.692,      20.236,      19.412,      16.565,      17.025,      15.635,      16.632,      15.992,
Temperature,   241.669,      16.876,      20.349,      19.446,      16.614,      17.076,      15.646,      16.642,      15.962,
Temperature,   241.710,      16.968,      20.275,      19.430,      16.562,      17.010,      15.653,      16.642,      16.013,
Temperature,   241.753,      17.040,      20.443,      19.589,      16.566,      17.011,      15.651,      16.631,      15.935,
