$Trinity Lake qdt 2019 calculated using updated data on Grabdata2 YC updated 08/07/2023,
",,,",
JDAY,QDT 
229,-8.795457738
229.042,-1.953457738
229.083,-1.953457738
229.125,-1.953457738
229.167,-49.51145774
229.208,-1.56145774
229.25,-8.795457738
229.292,-66.06945774
229.333,-59.78845774
229.375,14.13854226
229.417,60.18754226
229.458,56.89354226
229.5,-1.953457738
229.542,31.05654226
229.583,45.90454226
229.625,-1.036457738
229.667,-1.953457738
229.708,53.80554226
229.75,53.41654226
229.792,38.81554226
229.833,-1.953457738
229.875,-18.26445774
229.917,-27.22245774
229.958,-26.89445774
230,-20.00993484
230.042,-11.26293484
230.083,-54.30193484
230.125,-4.491934842
230.167,-18.45093484
230.208,-5.528934842
230.25,-5.478934842
230.292,-52.10293484
230.333,-4.491934842
230.375,-19.78793484
230.417,-11.26293484
230.458,-12.44393484
230.5,-4.371934842
230.542,51.93506516
230.583,15.26206516
230.625,44.10606516
230.667,-4.491934842
230.708,52.64506516
230.75,44.10606516
230.792,-43.35593484
230.833,-29.36093484
230.875,-11.26293484
230.917,-14.22593484
230.958,-21.40893484
231,-5.563059797
231.042,-2.696059797
231.083,-5.588059797
231.125,-15.1050598
231.167,-13.3470598
231.208,-55.3980598
231.25,-5.588059797
231.292,-53.4230598
231.333,-56.4100598
231.375,4.6969402
231.417,-5.6590598
231.458,-5.588059797
231.5,-5.588059797
231.542,4.120940203
231.583,22.7729402
231.625,73.1279402
231.667,42.0229402
231.708,-27.4930598
231.75,-5.588059797
231.792,25.0849402
231.833,-19.6130598
231.875,-13.3470598
231.917,-6.505059797
231.958,-15.5650598
232,-1.121818593
232.042,-1.121818593
232.083,-19.25781859
232.125,-48.73281859
232.167,-1.121818593
232.208,-1.121818593
232.25,-16.09481859
232.292,-54.58681859
232.333,-16.32081859
232.375,-8.880818593
232.417,-9.867818593
232.458,-1.121818593
232.5,-0.134818593
232.542,111.5231814
232.583,88.52218141
232.625,38.71218141
232.667,13.47918141
232.708,46.66418141
232.75,-1.121818593
232.792,-15.06981859
232.833,-26.06281859
232.875,6.102181407
232.917,-1.121818593
232.958,-19.03281859
233,2.556949736
233.042,2.556949736
233.083,-47.66505026
233.125,-12.96105026
233.167,-14.56705026
233.208,-55.27805026
233.25,-12.96105026
233.292,-13.87705026
233.333,-14.43205026
233.375,2.556949736
233.417,99.77294974
233.458,99.14094974
233.5,101.2349497
233.542,99.75294974
233.583,1.755949736
233.625,-29.46605026
233.667,-16.40005026
233.708,-23.32405026
233.75,2.556949736
233.792,2.556949736
233.833,-13.39705026
233.875,2.556949736
233.917,-3.46905026
233.958,18.46194974
234,-2.887973297
234.042,-2.887973297
234.083,-2.887973297
234.125,-4.240973297
234.167,-29.3199733
234.208,-26.7449733
234.25,-18.4759733
234.292,-2.887973297
234.333,-8.5139733
234.375,-0.983973297
234.417,52.4110267
234.458,-2.887973297
234.5,-2.887973297
234.542,39.6670267
234.583,50.8260267
234.625,-2.887973297
234.667,12.6300267
234.708,20.9690267
234.75,-2.887973297
234.792,5.858026703
234.833,36.9460267
234.875,-25.4839733
234.917,-73.7749733
234.958,-11.8519733
235,-19.07728402
235.042,-52.01728402
235.083,-0.576284018
235.125,-6.311284018
235.167,-14.07028402
235.208,-15.73028402
235.25,-61.75128402
235.292,-29.58728402
235.333,-64.26728402
235.375,16.52871598
235.417,1.447715982
235.458,79.75071598
235.5,65.63371598
235.542,1.447715982
235.583,48.96271598
235.625,40.31171598
235.667,89.89771598
235.708,1.447715982
235.75,25.69471598
235.792,49.17271598
235.833,1.447715982
235.875,-4.936284018
235.917,1.447715982
235.958,-23.89228402
236,-11.19787669
236.042,-30.04987669
236.083,-4.426876686
236.125,15.80612331
236.167,-3.086876686
236.208,-4.426876686
236.25,-12.11487669
236.292,-50.84987669
236.333,-4.426876686
236.375,-11.80887669
236.417,-12.82087669
236.458,-4.426876686
236.5,67.30512331
236.542,43.11312331
236.583,44.37112331
236.625,2.697123314
236.667,60.79712331
236.708,100.8331233
236.75,-4.426876686
236.792,-79.07687669
236.833,-4.426876686
236.875,-4.426876686
236.917,-4.426876686
236.958,-39.59787669
237,-110.5363814
237.042,2.670618619
237.083,40.69761862
237.125,18.11761862
237.167,-11.72938138
237.208,-54.36938138
237.25,-12.49438138
237.292,-13.28938138
237.333,-54.36938138
237.375,-12.32538138
237.417,2.670618619
237.458,58.91261862
237.5,2.670618619
237.542,37.93761862
237.583,56.38461862
237.625,2.670618619
237.667,19.59861862
237.708,33.53961862
237.75,43.43961862
237.792,4.010618619
237.833,2.670618619
237.875,2.670618619
237.917,-10.51138138
237.958,-13.08938138
238,-23.10958897
238.042,-22.05858897
238.083,-9.737588969
238.125,-15.02558897
238.167,-55.77458897
238.208,-22.58358897
238.25,-0.122588969
238.292,-46.67558897
238.333,7.564411031
238.375,-7.528588969
238.417,-0.122588969
238.458,50.21241103
238.5,48.47541103
238.542,-6.823588969
238.583,-0.122588969
238.625,52.35141103
238.667,41.70441103
238.708,44.26741103
238.75,-0.122588969
238.792,17.72241103
238.833,-0.122588969
238.875,-0.122588969
238.917,-7.304588969
238.958,-15.95458897
239,-11.16074046
239.042,-6.80274046
239.083,-10.21974046
239.125,-41.84274046
239.167,-90.01774046
239.208,3.29925954
239.25,6.33225954
239.292,4.56825954
239.333,-5.30374046
239.375,3.29925954
239.417,3.29925954
239.458,15.33425954
239.5,59.44525954
239.542,3.29925954
239.583,3.29925954
239.625,42.93025954
239.667,49.08325954
239.708,3.29925954
239.75,33.75225954
239.792,44.52425954
239.833,3.29925954
239.875,-4.07574046
239.917,-11.16074046
239.958,4.75325954
240,0.842088214
240.042,0.842088214
240.083,0.842088214
240.125,0.842088214
240.167,-61.22891179
240.208,0.842088214
240.25,0.842088214
240.292,0.842088214
240.333,0.842088214
240.375,-12.78791179
240.417,-7.903911786
240.458,0.842088214
240.5,0.842088214
240.542,86.29708821
240.583,0.842088214
240.625,0.842088214
240.667,0.842088214
240.708,0.842088214
240.75,0.842088214
240.792,0.842088214
240.833,0.842088214
240.875,0.842088214
240.917,0.842088214
240.958,3.509088214
241,-6.465554778
241.042,-35.94855478
241.083,-6.465554778
241.125,-6.465554778
241.167,-6.465554778
241.208,-6.465554778
241.25,-65.04455478
241.292,-6.465554778
241.333,19.98044522
241.375,-6.112554778
241.417,-15.14155478
241.458,-6.465554778
241.5,33.33144522
241.542,-6.465554778
241.583,41.79944522
241.625,-6.465554778
241.667,-5.760554778
241.708,41.39244522
241.75,41.14544522
241.792,-37.31455478
241.833,-37.46355478
241.875,-39.12255478
241.917,-37.07755478
241.958,-5.092554778
242,-10.41234557
242.042,-4.137345566
242.083,-4.137345566
242.125,-27.26834557
242.167,-49.20834557
242.208,-11.31934557
242.25,-5.420345566
242.292,-35.66534557
242.333,-4.137345566
242.375,-20.69434557
242.417,-4.137345566
242.458,-4.137345566
242.5,4.015654434
242.542,54.19465443
242.583,1.139654434
242.625,4.044654434
242.667,-4.137345566
242.708,83.33265443
242.75,42.48565443
242.792,-11.82534557
242.833,-35.80234557
242.875,-10.83834557
242.917,-20.57134557
242.958,-5.149345566
243,-5.034015167
243.042,-6.689015167
243.083,-88.07601517
243.125,-6.689015167
243.167,-5.702015167
243.208,-27.43501517
243.25,-50.48601517
243.292,-47.74001517
243.333,-16.90601517
243.375,1.986984833
243.417,-6.689015167
243.458,-6.689015167
243.5,88.45198483
243.542,49.66798483
243.583,-31.36501517
243.625,1.421984833
243.667,-6.689015167
243.708,64.05598483
243.75,-6.689015167
243.792,-20.16101517
243.833,-8.641015167
243.875,25.53098483
243.917,-6.689015167
243.958,-6.689015167
244,-46.70914378
244.042,-2.721143777
244.083,-3.630143777
244.125,-4.016143777
244.167,-50.54414378
244.208,-28.37914378
244.25,-57.73814378
244.292,-12.38514378
244.333,-3.991143777
244.375,-3.991143777
244.417,2.855856223
244.458,50.53685622
244.5,27.81985622
244.542,-3.991143777
244.583,11.04585622
244.625,43.65285622
244.667,-3.991143777
244.708,42.25485622
244.75,44.25385622
244.792,-27.92014378
244.833,-20.81114378
244.875,-28.11414378
244.917,-31.99414378
244.958,-4.931143777
245,-19.55281307
245.042,-4.830813071
245.083,1.097186929
245.125,-5.794813071
245.167,-4.830813071
245.208,-59.17481307
245.25,-4.830813071
245.292,-52.15981307
245.333,-80.01581307
245.375,-4.830813071
245.417,-32.76281307
245.458,-4.830813071
245.5,46.19318693
245.542,14.42418693
245.583,72.30618693
245.625,89.75618693
245.667,51.10318693
245.708,51.55818693
245.75,-34.73781307
245.792,-20.27781307
245.833,-6.782813071
245.875,-13.52881307
245.917,-26.06181307
245.958,-12.78281307
246,-11.99825256
246.042,-13.00925256
246.083,-5.250252558
246.125,-4.310252558
246.167,-65.18125256
246.208,-38.93925256
246.25,-4.67325256
246.292,-4.310252558
246.333,-5.322252558
246.375,-59.25625256
246.417,-4.310252558
246.458,59.18974744
246.5,-4.310252558
246.542,20.72974744
246.583,68.07874744
246.625,49.71874744
246.667,3.448747442
246.708,45.90974744
246.75,-26.52925256
246.792,-3.393252558
246.833,-4.310252558
246.875,-4.310252558
246.917,-11.03625256
246.958,-44.21625256
247,-18.72764028
247.042,-35.47464028
247.083,-3.280640283
247.125,-3.280640283
247.167,-58.29764028
247.208,-22.27064028
247.25,-59.21464028
247.292,-9.981640283
247.333,-60.60964028
247.375,-9.90364028
247.417,13.08335972
247.458,59.35035972
247.5,-3.280640283
247.542,-3.280640283
247.583,43.53935972
247.625,67.18335972
247.667,53.56935972
247.708,44.21635972
247.75,-3.280640283
247.792,-3.280640283
247.833,-20.07764028
247.875,-10.96864028
247.917,5.155359717
247.958,-3.280640283
248,-6.664610955
248.042,45.88738905
248.083,-6.664610955
248.125,-6.664610955
248.167,-6.664610955
248.208,30.82438905
248.25,-6.664610955
248.292,-144.485611
248.333,-6.664610955
248.375,-6.664610955
248.417,-6.664610955
248.458,-6.664610955
248.5,-43.89361096
248.542,-1.024610955
248.583,74.37638905
248.625,94.62238905
248.667,-6.664610955
248.708,-6.664610955
248.75,21.55838905
248.792,-6.664610955
248.833,-6.664610955
248.875,-6.664610955
248.917,-12.73361096
248.958,-6.664610955
249,-4.734378884
249.042,-11.65137888
249.083,-4.734378884
249.125,-4.734378884
249.167,-4.734378884
249.208,-4.734378884
249.25,-68.42537888
249.292,-51.07537888
249.333,1.65162112
249.375,-11.50637888
249.417,-11.50537888
249.458,-4.734378884
249.5,-4.734378884
249.542,-2.807378884
249.583,79.19962112
249.625,50.28262112
249.667,2.953621116
249.708,44.27962112
249.75,59.94462112
249.792,-4.734378884
249.833,-5.142378884
249.875,-12.47137888
249.917,-4.734378884
249.958,-28.08637888
250,-33.9460812
250.042,-19.1980812
250.083,-19.1980812
250.125,-19.1980812
250.167,-27.9440812
250.208,-19.1980812
250.25,-75.4390812
250.292,-19.1980812
250.333,-4.1860812
250.375,-11.4390812
250.417,-19.1980812
250.458,-19.1980812
250.5,-19.1980812
250.542,34.8799188
250.583,42.1069188
250.625,-19.1980812
250.667,-19.1980812
250.708,-9.9450812
250.75,20.6119188
250.792,-19.1980812
250.833,-19.1980812
250.875,-19.1980812
250.917,-48.3580812
250.958,-19.1980812
251,-23.50337577
251.042,-68.58637577
251.083,-59.88837577
251.125,-14.41637577
251.167,3.92262423
251.208,-14.41637577
251.25,-47.07037577
251.292,-14.41637577
251.333,81.25162423
251.375,2.01762423
251.417,-14.41637577
251.458,-14.41637577
251.5,26.69762423
251.542,33.82862423
251.583,-14.41637577
251.625,-38.04537577
251.667,-42.14337577
251.708,-14.41637577
251.75,-14.41637577
251.792,-15.96937577
251.833,-14.41637577
251.875,39.33862423
251.917,-14.41637577
251.958,17.65762423
252,-7.067584496
252.042,-7.067584496
252.083,-74.2005845
252.125,-7.067584496
252.167,-7.067584496
252.208,-30.5405845
252.25,-30.6965845
252.292,-7.067584496
252.333,26.4144155
252.375,-7.067584496
252.417,1.185415504
252.458,32.2594155
252.5,-7.067584496
252.542,-22.3735845
252.583,-7.067584496
252.625,10.6114155
252.667,-7.067584496
252.708,-33.3035845
252.75,-7.067584496
252.792,18.1834155
252.833,33.3444155
252.875,8.379415504
252.917,1.678415504
252.958,-15.8875845
253,-40.98329863
253.042,-2.171298631
253.083,-10.34729863
253.125,-49.00629863
253.167,-2.171298631
253.208,-8.680298631
253.25,-9.930298631
253.292,-9.859298631
253.333,-51.18629863
253.375,-2.171298631
253.417,19.91670137
253.458,54.79570137
253.5,-2.171298631
253.542,-2.171298631
253.583,63.60470137
253.625,-2.171298631
253.667,-14.42429863
253.708,-2.171298631
253.75,-33.55929863
253.792,-19.09929863
253.833,-2.171298631
253.875,-2.171298631
253.917,53.46770137
253.958,22.55270137
254,-17.74222211
254.042,-17.83522211
254.083,-50.46222211
254.125,-10.21822211
254.167,11.02577789
254.208,-2.459222109
254.25,-10.21822211
254.292,-65.65822211
254.333,-2.459222109
254.375,20.87977789
254.417,38.65077789
254.458,-2.459222109
