 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
106,1,5,579.641105,-.751090,-.751105,53.576262,50458058113.400337,-94179877016.641876,1.251090,1.251105,138.736149,138.734376,8.526296,8.526296,-.187424,31106557.284965
107,1,5,579.642303,-.752286,-.752303,51.926700,50458058111.750778,-97171702476.980621,1.252286,1.252303,147.411115,147.409023,8.481010,8.481010,-.239300,29240460.066671
108,1,5,579.643101,-.753082,-.753101,49.479115,50458058109.303192,-101978497551.369110,1.253082,1.253101,201.430782,201.427716,8.439149,8.439149,-.212762,23183363.235700
109,1,5,579.644012,-.753992,-.754012,45.914039,50458058105.738121,-109896796271.008301,1.253992,1.254012,260.834870,260.830713,8.390115,8.390115,-.156921,17801213.035574
110,1,5,579.644531,-.754510,-.754531,41.318522,50458058101.142601,-122119708525.163559,1.254510,1.254531,307.333857,307.328821,8.347823,8.347823,-.107964,14557160.768417
111,1,5,579.644802,-.754782,-.754802,19.651006,50458058079.475090,-256770861775.889954,1.254782,1.254802,332.340738,332.335208,8.300355,8.300355,-.068558,14041138.969994
112,1,5,579.645016,-.754995,-.755016,11.221483,50458058071.045563,-449655883195.694336,1.254995,1.255016,309.932488,309.927255,8.275558,8.275558,-.045227,17576063.776547
113,1,5,579.645091,-.755070,-.755091,.000000,.000000,.000000,1.255070,1.255091,281.507683,281.502887,8.217440,8.217440,.001486,.001487
114,1,5,579.645091,-.755070,-.755091,.000000,.000000,.000000,1.255070,1.255091,281.507683,281.502887,8.217440,8.217440,.000000,.000000
115,2,5,579.786528,-.896801,-.896528,54.941736,64.571528,-17.527280,1.396801,1.396528,134.181724,134.213520,8.163825,8.163825,.408525,.481224
116,2,5,579.761242,-.871683,-.871242,60.394600,78.045433,-29.225847,1.371683,1.371242,18.417411,18.390691,7.477314,7.477314,3.276343,4.237590
117,2,5,578.981062,-.088633,-.091062,11.131545,11.130684,.007735,.588633,.591062,25.931137,25.861467,8.386026,8.386026,.495146,.495125
118,2,5,579.290786,-.399047,-.400786,-61.297432,-61.295546,.003076,.899047,.900786,42.514356,42.446650,8.287020,8.287020,-.092926,-.094470
119,2,5,579.424222,-.532940,-.534222,-124.283187,-124.280988,.001769,1.032940,1.034222,51.329927,51.286315,8.213664,8.213664,-.759016,-.760028
120,2,5,579.550892,-.660373,-.660892,-148.521466,-148.519614,.001247,1.160373,1.160892,80.021000,80.001934,8.205076,8.205076,-.589749,-.590223
121,2,5,579.602741,-.712583,-.712741,-162.414624,-162.414624,.000000,1.212583,1.212741,148.316638,148.307168,8.217183,8.217183,-.427738,-.426703
122,2,5,579.499665,-.609636,-.609665,.000000,.000000,.000000,1.109636,1.109665,190.357661,190.352616,8.155086,8.155086,.000000,.000000
