$Lewiston Spillway release year 2017 YC 06/22/22,
308.625,4.6843292
308.667,4.6843292
308.708,4.6843292
308.75,4.6843292
308.792,4.6843292
308.833,4.6843292
308.875,4.6713112
308.917,4.6973472
308.958,4.6843292
309,4.6843292
309.042,4.5281698
309.083,4.3720104
309.125,4.6713112
309.167,4.6843292
309.208,4.6843292
309.25,4.6843009
309.292,4.6842726
309.333,4.6972906
309.375,4.6843009
309.417,4.6843009
309.458,4.6712829
309.5,4.6843009
309.542,4.6843009
309.583,4.6843009
309.625,4.6843009
309.667,4.6843009
309.708,4.6843009
309.75,4.6843009
309.792,4.6843009
309.833,4.6843009
309.875,4.6843009
309.917,4.6843009
309.958,4.6843009
310,4.6843009
310.042,4.6843009
310.083,4.6843009
310.125,4.6843009
310.167,4.6843009
310.208,4.6843009
310.25,4.6843009
310.292,4.6843009
310.333,4.6843009
310.375,4.6843009
310.417,4.6843009
310.458,4.6843009
310.5,4.6843009
310.542,4.6843009
310.583,4.6843009
310.625,4.6843009
310.667,4.6842726
310.708,4.6712829
310.75,4.6843009
310.792,4.6973189
310.833,4.6842726
310.875,4.6843009
310.917,4.7451742
310.958,4.8986451
311,4.866185
311.042,4.9277092
311.083,4.914012
311.125,4.9277092
311.167,4.9277092
311.208,4.9277092
311.25,4.9277092
311.292,4.8756372
311.333,4.8190089
311.375,4.7321562
311.417,4.7154026
311.458,4.713365
311.5,4.6843009
311.542,4.6843009
311.583,4.6843009
311.625,4.6843009
311.667,4.6843009
311.708,4.6843009
311.75,4.6843009
311.792,4.6843009
311.833,4.6843009
311.875,4.6843009
311.917,4.6843009
311.958,4.6843009
312,4.8587421
312.042,4.8134338
312.083,4.7451742
312.125,4.7465326
312.167,4.6843292
312.208,4.6843292
312.25,4.6843292
312.292,4.6843292
312.333,4.6843292
312.375,4.6843292
312.417,4.6843292
312.458,4.6843292
312.5,4.6843292
312.542,4.6843292
312.583,4.6843292
312.625,4.6843292
312.667,4.6843292
312.708,4.6843292
312.75,4.6713112
312.792,4.6843292
312.833,4.6843292
312.875,4.6973472
312.917,4.7762476
312.958,4.77421
313,4.6843292
313.042,4.7632296
313.083,4.9277092
313.125,4.7762476
313.167,4.8102076
313.208,4.8343758
313.25,4.744495
313.292,4.8060192
313.333,4.6843292
313.375,4.7328354
313.417,4.6843292
313.458,4.6843292
313.5,4.6843292
313.542,4.6843292
313.583,4.6843292
313.625,4.6843292
313.667,4.6843292
313.708,4.6843292
313.75,4.6843292
313.792,4.6843292
313.833,4.6843292
313.875,4.6843292
313.917,4.6843292
313.958,4.6843292
314,4.6843292
314.042,4.6843292
314.083,4.6843292
314.125,4.6843292
314.167,4.6843292
314.208,4.6843292
314.25,4.6843292
314.292,4.6843292
314.333,4.6843292
314.375,4.6843292
314.417,4.6843292
314.458,4.6843292
314.5,4.6843292
314.542,4.6843292
314.583,4.6843292
314.625,4.6843292
314.667,4.6843292
314.708,4.6843292
314.75,4.6843292
314.792,4.6843292
314.833,4.6713112
314.875,4.6973472
314.917,4.6843292
314.958,4.6843292
315,4.6843292
315.042,4.6843292
315.083,4.6713112
315.125,4.6843292
315.167,4.6843292
315.208,4.6843292
315.25,4.6843292
315.292,4.6843292
315.333,4.6973472
315.375,4.6843292
315.417,4.6713112
315.458,4.6843292
315.5,4.6843292
315.542,4.6843292
315.583,4.6843292
315.625,4.6843292
315.667,4.6973472
315.708,4.6713112
315.75,4.6843292
315.792,4.6843292
315.833,4.6843292
315.875,4.6843292
315.917,4.6843292
315.958,4.6843292
316,4.6843292
316.042,4.6843292
316.083,4.6843292
316.125,4.6843292
316.167,4.6843292
316.208,4.6843292
316.25,4.6843292
316.292,4.6843292
316.333,4.6843292
316.375,4.6843292
316.417,4.6843292
316.458,4.6843292
316.5,4.6843292
316.542,4.6843292
316.583,4.6843292
316.625,4.6843292
316.667,4.6843292
316.708,4.6548972
316.75,4.6843292
316.792,4.6843292
316.833,4.6713112
316.875,4.6973472
316.917,4.6843292
316.958,4.6843292
317,4.6843292
317.042,4.6713112
317.083,4.6843292
317.125,4.6843292
317.167,4.6843292
317.208,4.6973472
317.25,4.6843292
317.292,4.6843292
317.333,4.6843292
317.375,4.6843292
317.417,4.6713112
317.458,4.6843292
317.5,4.6843292
317.542,4.6843292
317.583,4.6843292
317.625,4.6843292
317.667,4.6973472
317.708,4.6713112
317.75,4.6843292
317.792,4.6843292
317.833,4.6843292
317.875,4.6843292
317.917,4.6843292
317.958,4.6843292
318,4.6843292
318.042,4.6843292
318.083,4.6843292
318.125,4.6843292
318.167,4.6843292
318.208,4.6843292
318.25,4.6843292
318.292,4.6843292
318.333,4.6843292
318.375,4.6843292
318.417,4.6843292
318.458,4.6843292
318.5,4.6843292
318.542,4.6687642
318.583,4.5654126
318.625,4.5654126
318.667,4.5654126
318.708,4.5654126
318.75,4.5805814
318.792,4.6535954
318.833,4.6713112
318.875,4.6973472
318.917,4.6843009
318.958,4.6843009
319,4.6843009
319.042,4.6843009
319.083,4.6843009
319.125,4.6712829
319.167,4.6843009
319.208,4.6843009
319.25,4.6843009
319.292,4.6843009
319.333,4.6843009
319.375,4.6972906
319.417,4.6843009
319.458,4.6713112
319.5,4.6843292
319.542,4.6843292
319.583,4.6973472
319.625,4.6843009
319.667,4.6713112
319.708,4.6843292
319.75,4.6843292
319.792,4.6843292
319.833,4.6843292
319.875,4.744495
319.917,4.6843292
319.958,4.7458534
320,4.6843292
320.042,4.6843292
320.083,4.6843292
320.125,4.6843292
320.167,4.6843292
320.208,4.6843292
320.25,4.6843292
320.292,4.6843292
320.333,4.6843292
320.375,4.6843292
320.417,4.6843292
320.458,4.6843292
320.5,4.6843292
320.542,4.6843292
320.583,4.6843292
320.625,4.6843292
320.667,4.6843292
320.708,4.6843292
320.75,4.6843292
320.792,4.6843292
320.833,4.6843292
320.875,4.6713112
320.917,4.6843292
320.958,4.6843292
321,4.6973472
321.042,4.6843292
321.083,4.6843292
321.125,4.6843292
321.167,4.6843292
321.208,4.6713112
321.25,4.6843292
321.292,4.6843009
321.333,4.6843009
321.375,4.6843009
321.417,4.6843009
321.458,4.6843292
321.5,4.6973472
321.542,4.6713112
321.583,4.6843292
321.625,4.6843009
321.667,4.6843292
321.708,4.6843292
321.75,4.6843009
321.792,4.6843292
321.833,4.6843292
321.875,4.7154026
321.917,4.9277092
321.958,4.835055
322,4.8979376
322.042,4.9277092
322.083,4.9277092
322.125,4.9277092
322.167,4.9277092
322.208,4.9277092
322.25,4.9277092
322.292,4.9277092
322.333,4.9277092
322.375,4.9277092
322.417,4.8965792
322.458,4.8986168
322.5,4.8351116
322.542,4.6843292
322.583,4.6843292
322.625,4.6843292
322.667,4.6843292
322.708,4.6843292
322.75,4.6843292
322.792,4.7154026
322.833,4.8524878
322.875,4.9277092
322.917,4.9414064
322.958,4.9277092
323,4.9277092
323.042,4.9277092
323.083,4.9277092
323.125,4.914012
323.167,4.9277092
323.208,4.9277092
323.25,4.9277092
323.292,4.9277092
323.333,4.9277092
323.375,4.759494
323.417,4.8073776
323.458,4.7618712
323.5,4.7052712
323.542,4.6843292
323.583,4.6843292
323.625,4.6843292
323.667,4.6843292
323.708,4.6843292
323.75,4.6843292
323.792,4.6843292
323.833,4.6843292
323.875,4.7154026
323.917,4.866185
323.958,4.9277092
324,4.8965792
324.042,4.8370926
324.083,4.7748892
324.125,4.7769268
324.167,4.7958312
324.208,4.838451
324.25,4.9277092
