$Lewiston inflow sum of individual outflows from Trinity Lake year 2019 YC updated 8/7/23,
",,,",
Julian Date,Inflow
58.667,0.085
58.708,0.085
58.75,0.085
58.792,0.085
58.833,0.085
58.875,0.085
58.917,0.085
58.958,0.085
59,0.085
59.042,0.085
59.083,0.085
59.125,0.085
59.167,0.085
59.208,0.085
59.25,0.085
59.292,0.085
59.333,0.085
59.375,0.085
59.417,0.085
59.458,0.085
59.5,0.085
59.542,0.085
59.583,0.085
59.625,0.085
59.667,0.085
59.708,2.8099999
59.75,28.3759995
59.792,29.0279999
59.833,29.0970001
59.875,28.382
59.917,2.5780001
59.958,0.085
60,0.085
60.042,0.085
60.083,0.085
60.125,0.085
60.167,0.085
60.208,0.085
60.25,0.085
60.292,0.085
60.333,0.085
60.375,0.085
60.417,0.085
60.458,0.085
60.5,0.085
60.542,0.085
60.583,0.085
60.625,0.085
60.667,0.085
60.708,6.5209999
60.75,46.2249985
60.792,47.8139992
60.833,41.6940002
60.875,45.8470001
60.917,3.023
60.958,0.085
61,0.085
61.042,0.085
61.083,0.085
61.125,0.085
61.167,0.085
61.208,0.085
61.25,0.085
61.292,0.085
61.333,0.085
61.375,0.085
61.417,0.085
61.458,0.085
61.5,0.085
61.542,0.085
61.583,0.085
61.625,0.085
61.667,0.085
61.708,5.6009998
61.75,23.3740005
61.792,46.6920013
61.833,30.1580009
61.875,0.085
61.917,0.085
61.958,0.085
62,0.085
62.042,0.085
62.083,0.085
62.125,0.085
62.167,0.085
62.208,0.085
62.25,0.085
62.292,0.085
62.333,0.085
62.375,0.085
62.417,0.085
62.458,0.085
62.5,0.085
62.542,2.9489999
62.583,0.085
62.625,0.085
62.667,0.085
62.708,3.9579999
62.75,26.2169991
62.792,36.7799988
62.833,46.382
62.875,36.4269981
62.917,3.0420001
62.958,0.085
63,0.085
63.042,0.085
63.083,0.085
63.125,0.085
63.167,0.085
63.208,0.085
63.25,0.085
63.292,5.4190001
63.333,44.8120003
63.375,26.2010002
63.417,2.3829999
63.458,0.085
63.5,0.085
63.542,0.085
63.583,0.085
63.625,0.085
63.667,0.085
63.708,5.4239998
63.75,46.0410004
63.792,47.9389992
63.833,48.0270004
63.875,46.1030006
63.917,3.2290001
63.958,0.085
64,0.085
64.042,0.085
64.083,0.085
64.125,0.085
64.167,0.085
64.208,3.2479999
64.25,15.8809996
64.292,15.9460001
64.333,15.9160004
64.375,15.6929998
64.417,3.447
64.458,0.085
64.5,11.8240004
64.542,2.9219999
64.583,0.085
64.625,0.085
64.667,12.526
64.708,16.2999992
64.75,25.7479992
64.792,26.1609993
64.833,26.1529999
64.875,27.0610008
64.917,16.2119999
64.958,15.8470001
65,15.882
65.042,15.8940001
65.083,15.9069996
65.125,15.8970003
65.167,15.8629999
65.208,15.8870001
65.25,15.8430004
65.292,15.8809996
65.333,15.882
65.375,15.9379997
65.417,15.9820004
65.458,15.8579998
65.5,16.0270004
65.542,16.0079994
65.583,15.8450003
65.625,15.835
65.667,15.9049997
65.708,16.0109997
65.75,18.7940006
65.792,18.9459991
65.833,18.941
65.875,18.6650009
65.917,16.0170002
65.958,15.8079996
66,15.8889999
66.042,15.8669996
66.083,15.8059998
66.125,15.7950001
66.167,15.974
66.208,15.8889999
66.25,15.8780003
66.292,18.3120003
66.333,33.7550011
66.375,16.6779995
66.417,15.9090004
66.458,15.6689997
66.5,15.6639996
66.542,15.8389997
66.583,15.823
66.625,15.7950001
66.667,15.7720003
66.708,15.8409996
66.75,15.9390001
66.792,16.0200005
66.833,15.8149996
66.875,15.7659998
66.917,15.7969999
66.958,15.8210001
67,15.7930002
