 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   26.1038,      8.69,      0.40,    327.66,
   26.1452,      8.68,      0.40,    327.66,
   26.1872,      8.68,      0.40,    327.66,
   26.2288,      8.67,      0.40,    327.66,
   26.2708,      8.67,      1.34,    327.66,
   26.3122,      8.67,     13.34,    327.66,
   26.3538,      8.66,      1.35,    327.66,
   26.3958,      8.66,      0.40,    327.66,
   26.4372,      8.66,      0.40,    327.66,
   26.4788,      8.66,      0.40,    327.66,
   26.5208,      8.66,      0.40,    327.66,
   26.5622,      8.66,      0.40,    327.66,
   26.6045,      8.66,      0.40,    327.66,
   26.6458,      8.66,      0.40,    327.66,
   26.6878,      8.67,      0.40,    327.66,
   26.7294,      8.67,      0.40,    327.66,
   26.7709,      8.67,      0.40,    327.66,
   26.8123,      8.67,      0.40,    327.66,
   26.8543,      8.67,      0.40,    327.66,
   26.8961,      8.67,      0.40,    327.66,
   26.9376,      8.67,      0.40,    327.66,
