 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   23.7267,      8.32,     52.02,    327.66,
   23.7684,      8.31,     55.33,    327.66,
   23.8100,      8.31,     52.44,    327.66,
   23.8520,      8.31,     46.37,    327.66,
   23.8935,      8.30,     53.88,    327.66,
   23.9352,      8.30,     40.41,    327.66,
   23.9767,      8.30,     39.94,    327.66,
   24.0187,      8.30,     38.90,    327.66,
   24.0605,      8.30,     18.29,    327.66,
   24.1025,      8.30,     17.41,    327.66,
   24.1438,      8.30,     17.49,    327.66,
   24.1858,      8.30,     17.37,    327.66,
   24.2275,      8.30,     17.48,    327.66,
   24.2688,      8.30,     18.75,    327.66,
   24.3108,      8.30,     39.09,    327.66,
   24.3521,      8.30,     39.70,    327.66,
   24.3937,      8.30,     39.21,    327.66,
   24.4357,      8.30,     38.01,    327.66,
   24.4775,      8.30,     37.34,    327.66,
   24.5192,      8.29,      2.29,    327.66,
   24.5608,      8.28,      0.20,    327.66,
   24.6022,      8.28,      0.20,    327.66,
   24.6445,      8.28,      0.44,    327.66,
   24.6858,      8.28,      1.71,    327.66,
   24.7273,      8.28,      2.99,    327.66,
   24.7695,      8.28,      2.48,    327.66,
   24.8108,      8.28,      2.86,    327.66,
   24.8524,      8.28,      2.90,    327.66,
   24.8945,      8.29,      5.03,    327.66,
   24.9365,      8.29,     16.32,    327.66,
   24.9781,      8.29,     16.67,    327.66,
   25.0195,      8.29,     17.02,    327.66,
   25.0615,      8.29,     16.68,    327.66,
   25.1030,      8.29,     16.70,    327.66,
   25.1445,      8.29,     16.68,    327.66,
   25.1865,      8.29,     16.57,    327.66,
   25.2280,      8.29,     16.36,    327.66,
   25.2695,      8.28,     17.53,    327.66,
   25.3111,      8.29,     38.15,    327.66,
   25.3533,      8.29,     38.25,    327.66,
   25.3949,      8.28,     17.62,    327.66,
   25.4365,      8.28,     15.96,    327.66,
   25.4784,      8.28,      1.36,    327.66,
   25.5203,      8.28,      2.20,    327.66,
   25.5615,      8.28,      2.44,    327.66,
   25.6035,      8.27,      1.34,    327.66,
   25.6451,      8.27,      0.63,    327.66,
   25.6865,      8.27,      1.41,    327.66,
   25.7285,      8.27,      0.78,    327.66,
   25.7702,      8.27,      0.69,    327.66,
   25.8122,      8.27,      0.81,    327.66,
   25.8536,      8.27,      1.82,    327.66,
   25.8952,      8.27,      2.94,    327.66,
   25.9372,      8.28,     16.49,    327.66,
   25.9786,      8.28,     16.87,    327.66,
   26.0202,      8.28,     16.03,    327.66,
   26.0622,      8.28,      8.70,    327.66,
   26.1039,      8.26,      1.04,    327.66,
   26.1452,      8.27,      1.99,    327.66,
   26.1872,      8.27,      2.00,    327.66,
   26.2289,      8.26,      1.29,    327.66,
   26.2708,      8.27,      2.10,    327.66,
   26.3122,      8.28,     15.93,    327.66,
   26.3539,      8.28,     16.64,    327.66,
   26.3958,      8.27,     16.68,    327.66,
   26.4372,      8.27,     16.08,    327.66,
   26.4788,      8.25,      1.34,    327.66,
   26.5208,      8.25,      1.39,    327.66,
   26.5622,      8.25,      2.05,    327.66,
   26.6039,      8.25,      2.43,    327.66,
   26.6458,      8.25,      1.75,    327.66,
   26.6878,      8.25,      0.40,    327.66,
   26.7289,      8.26,      0.40,    327.66,
   26.7708,      8.26,      0.99,    327.66,
   26.8128,      8.27,     10.91,    327.66,
   26.8546,      8.28,     11.45,    327.66,
   26.8958,      8.28,     11.44,    327.66,
   26.9378,      8.28,     16.58,    327.66,
