Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-AIR TEMPERATURE/TEMP-AIR//1Hour/Shasta_Lapse/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-DEW POINT/TEMP-DEWPOINT//1HOUR/235.40.51.1.1/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND DIRECTION/DIR-WIND//1HOUR/235.40.133.1.2/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND SPEED/SPEED-WIND//1HOUR/235.40.133.1.1/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-CLOUD COVER/%-CLOUD COVER//1HOUR/235.41.129.1.1/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/235.41.135.1.1/
Lewiston Res Met,shared\DMS_SacTrnMet.dss,/MR SAC.-LEWISTON RES./TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/232.6.53.1.1/
Lewiston Res Met,shared\DMS_SacTrnMet.dss,/MR SAC.-LEWISTON RES./TCAC1 - CALC DATA-DEW POINT/TEMP-DEWPOINT//1HOUR/232.6.51.1.1/
Lewiston Res Met,shared\DMS_SacTrnMet.dss,/MR SAC.-LEWISTON RES./TCAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/232.5.135.1.1/
Lewiston Res Met,shared\DMS_SacTrnMet.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND DIRECTION/DIR-WIND//1HOUR/232.5.133.1.2/
Lewiston Res Met,shared\DMS_SacTrnMet.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND SPEED/SPEED-WIND//1HOUR/232.5.133.1.1/
Trinity R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR/01DEC2015/1HOUR/236.9.53.1.1/
Trinity R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-CLOUD COVER/%-CLOUD COVER/01JAN2015/1DAY/236.9.129.1.1/
Trinity R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-DEW POINT/TEMP-DEWPOINT/01DEC2015/1HOUR/236.9.51.1.1/
